departure,arrival
"Las Vegas, NV (LAS)","Detroit, MI (DTW)"
"Las Vegas, NV (LAS)","El Paso, TX (ELP)"
"Las Vegas, NV (LAS)","Houston, TX (IAH)"
"Las Vegas, NV (LAS)","Los Angeles, CA (LAX)"
"Las Vegas, NV (LAS)","Miami, FL (MIA)"
"Las Vegas, NV (LAS)","New York City, NY (JFK)"
"Las Vegas, NV (LAS)","Oklahoma City, OK (OKC)"
"Las Vegas, NV (LAS)","Ontario/LA, CA (ONT)"
"Las Vegas, NV (LAS)","Orlando, FL (MCO)"
"Las Vegas, NV (LAS)","Philadelphia, PA (PHL)"
"Las Vegas, NV (LAS)","Phoenix, AZ (PHX)"
"Las Vegas, NV (LAS)","Portland, OR (PDX)"
"Las Vegas, NV (LAS)","Raleigh, NC (RDU)"
"Las Vegas, NV (LAS)","Reno, NV (RNO)"
"Las Vegas, NV (LAS)","Sacramento, CA (SMF)"
"Las Vegas, NV (LAS)","Salt Lake City, UT (SLC)"
"Las Vegas, NV (LAS)","San Antonio, TX (SAT)"
"Las Vegas, NV (LAS)","San Diego, CA (SAN)"
"Las Vegas, NV (LAS)","San Francisco, CA (SFO)"
"Las Vegas, NV (LAS)","San Jose, CA (SJC)"
"Las Vegas, NV (LAS)","Santa Ana, CA (SNA)"
"Las Vegas, NV (LAS)","Seattle, WA (PAE)"
"Las Vegas, NV (LAS)","Seattle, WA (SEA)"
"Las Vegas, NV (LAS)","St. Louis, MO (STL)"
"Las Vegas, NV (LAS)","Tampa, FL (TPA)"
"Las Vegas, NV (LAS)","Tucson, AZ (TUS)"
"Little Rock, AR (LIT)","Denver, CO (DEN)"
"Los Angeles, CA (LAX)","Atlanta, GA (ATL)"
"Los Angeles, CA (LAX)","Chicago, IL (ORD)"
"Los Angeles, CA (LAX)","Dallas, TX (DFW)"
"Los Angeles, CA (LAX)","Denver, CO (DEN)"
"Los Angeles, CA (LAX)","Houston, TX (IAH)"
"Los Angeles, CA (LAX)","Las Vegas, NV (LAS)"
"Los Angeles, CA (LAX)","New York City, NY (JFK)"
"Los Angeles, CA (LAX)","Orlando, FL (MCO)"
"Los Angeles, CA (LAX)","Philadelphia, PA (PHL)"
"Los Angeles, CA (LAX)","Phoenix, AZ (PHX)"
"Los Angeles, CA (LAX)","Sacramento, CA (SMF)"
"Los Angeles, CA (LAX)","Salt Lake City, UT (SLC)"
"Los Angeles, CA (LAX)","San Francisco, CA (SFO)"
"Los Angeles, CA (LAX)","San Jose, CA (SJC)"
"Los Angeles, CA (LAX)","Seattle, WA (SEA)"
"Madison, WI (MSN)","Denver, CO (DEN)"
"Madison, WI (MSN)","Orlando, FL (MCO)"
"Memphis, TN (MEM)","Denver, CO (DEN)"
"Miami, FL (MIA)","Atlanta, GA (ATL)"
"Miami, FL (MIA)","Austin, TX (AUS)"
"Miami, FL (MIA)","Baltimore, MD (BWI)"
"Miami, FL (MIA)","Boston, MA (BOS)"
"Miami, FL (MIA)","Cancun, MX (CUN)"
"Miami, FL (MIA)","Charlotte, NC (CLT)"
"Miami, FL (MIA)","Chicago, IL (MDW)"
"Miami, FL (MIA)","Cincinnati, OH (CVG)"
"Miami, FL (MIA)","Cleveland, OH (CLE)"
"Miami, FL (MIA)","Dallas, TX (DFW)"
"Miami, FL (MIA)","Denver, CO (DEN)"
"Miami, FL (MIA)",Guatemala City (GUA)
"Miami, FL (MIA)","Hartford, CT (BDL)"
"Miami, FL (MIA)","Houston, TX (IAH)"
"Miami, FL (MIA)","Las Vegas, NV (LAS)"
"Miami, FL (MIA)","New York City, NY (JFK)"
"Miami, FL (MIA)","New York City, NY (LGA)"
"Miami, FL (MIA)","Philadelphia, PA (PHL)"
"Miami, FL (MIA)","Punta Cana, Dominican Republic (PUJ)"
"Miami, FL (MIA)","Raleigh, NC (RDU)"
"Miami, FL (MIA)","San Juan, PR (SJU)"
"Miami, FL (MIA)",San Salvador (SAL)
"Miami, FL (MIA)",Santo Domingo (SDQ)
"Miami, FL (MIA)","Washington, D.C. (IAD)"
"Milwaukee, WI (MKE)","Atlanta, GA (ATL)"
"Milwaukee, WI (MKE)","Denver, CO (DEN)"
"Milwaukee, WI (MKE)","Orlando, FL (MCO)"
"Milwaukee, WI (MKE)","Tampa, FL (TPA)"
"Minneapolis/St. Paul, MN (MSP)","Atlanta, GA (ATL)"
"Minneapolis/St. Paul, MN (MSP)","Dallas, TX (DFW)"
"Minneapolis/St. Paul, MN (MSP)","Denver, CO (DEN)"
"Minneapolis/St. Paul, MN (MSP)","Orlando, FL (MCO)"
"Minneapolis/St. Paul, MN (MSP)","Phoenix, AZ (PHX)"
"Montego Bay, Jamaica (MBJ)","Atlanta, GA (ATL)"
"Montego Bay, Jamaica (MBJ)","Philadelphia, PA (PHL)"
"Myrtle Beach, SC (MYR)","Islip, NY (ISP)"
"Myrtle Beach, SC (MYR)","Philadelphia, PA (PHL)"
"Nashville, TN (BNA)","Chicago, IL (ORD)"
"Nashville, TN (BNA)","Cleveland, OH (CLE)"
"Nashville, TN (BNA)","Denver, CO (DEN)"
"Nashville, TN (BNA)","Orlando, FL (MCO)"
"Nashville, TN (BNA)","Philadelphia, PA (PHL)"
